OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300156:20160614:1108:SR,Sample-Routine,Water,Surface Water,2016-06-14,11:08:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-300156,DIRTYFACE CREEK @ CH & D RD.,188394,,,,38.8242000000,-82.5189000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864773474,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-300156%3A20160614%3A1108%3ASR/results/864773474/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:05,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-201926:20160607:1253:SR,Sample-Routine,Water,Surface Water,2016-06-07,12:53:00,EDT,,,,,,,,,,,,1132,Inland Lakes Program,,21OHIO_WQX-201926,"ATWOOD LAKE, L-2",188033,,,,40.5378000000,-81.2639000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864768107,,as N,Nitrate + Nitrite,Unfiltered,0.28,mg/L,,Final,,Actual,,,,,,,,,,Bottom 0.5(m),,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-201926%3A20160607%3A1253%3ASR/results/864768107/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:43:47,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01S10:20160803:1056:SR,Sample-Routine,Water,Surface Water,2016-08-03,10:56:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01S10,E. BR. HURON R. NEAR NORWALK @ ST. RT. 61,191837,,,,41.2306000000,-82.6456000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864856617,,as N,Nitrate + Nitrite,Unfiltered,0.78,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01S10%3A20160803%3A1056%3ASR/results/864856617/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:52,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-F01W85:20160524:1243:SR,Sample-Routine,Water,Surface Water,2016-05-24,12:43:00,EDT,,,,,,,,,,,,1713,Miscellaneous Chemistry Sampling - All Years,,21OHIO_WQX-F01W85,CUYAHOGA R. AT KENT @ STOW ST.,187506,,,,41.1506000000,-81.3622000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864801910,,as N,Nitrate + Nitrite,Unfiltered,0.72,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-F01W85%3A20160524%3A1243%3ASR/results/864801910/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:42,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303562:20160712:1420:SR,Sample-Routine,Water,Surface Water,2016-07-12,14:20:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303562,LITTLE BUFFALO CREEK @ CARPENTER RD. (TWP. 182),190418,,,,38.7505560000,-82.4959440000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864786176,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303562%3A20160712%3A1420%3ASR/results/864786176/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:48,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-H11S26:20160712:1220:SR,Sample-Routine,Water,Surface Water,2016-07-12,12:20:00,EDT,,,,,,,,,,,,1803,Large River Nutrient Study 2016,,21OHIO_WQX-H11S26,WHITEWATER R. W OF HOOVEN @ SUSPENSION BRIDGE RD.,190332,,,,39.1831000000,-84.7928000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864802670,,as N,Nitrate + Nitrite,Unfiltered,1.5,mg/L,,Final,,Actual,,,,,,,,,,BOD5 and cBOD5 results estimated due to poor correlation between BOD parameters.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-H11S26%3A20160712%3A1220%3ASR/results/864802670/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:44,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303474:20160623:0951:SR,Sample-Routine,Water,Surface Water,2016-06-23,09:51:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-303474,WELLSTON PWS NORTH PLANT INTAKE FROM L RACCOON CREEK,189208,,,,39.1386110000,-82.5168700000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864782192,,as N,Nitrate + Nitrite,Unfiltered,0.2,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303474%3A20160623%3A0951%3ASR/results/864782192/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:36,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-R14S13:20160822:1210:SR,Sample-Routine,Water,Surface Water,2016-08-22,12:10:00,EDT,,,,,,,,,,,,1713,Miscellaneous Chemistry Sampling - All Years,,21OHIO_WQX-R14S13,RACCOON CREEK JUST DST. JOHNSTOWN WWTP,193374,,,,40.1408000000,-82.6919000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864861426,,as N,Nitrate + Nitrite,Unfiltered,4.02,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-R14S13%3A20160822%3A1210%3ASR/results/864861426/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:10,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01P05:20160727:1300:SR,Sample-Routine,Water,Surface Water,2016-07-27,13:00:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01P05,W. BR. HURON R. 5 MI. N OF WILLARD @ BAUMAN RD.,191432,,,,41.1317000000,-82.7097000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864804744,,as N,Nitrate + Nitrite,Unfiltered,0.11,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01P05%3A20160727%3A1300%3ASR/results/864804744/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:45:51,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-P11S09:20161205:1207:SR,Sample-Routine,Water,Surface Water,2016-12-05,12:07:00,EST,,,,,,,,,,,,1771,Enhanced WLEB Tributary Monitoring,,21OHIO_WQX-P11S09,BAD CREEK UPST. DELTA @ CO. RD. 8-1,198467,,,,41.5964000000,-84.0186000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864859049,,as N,Nitrate + Nitrite,Unfiltered,18.4,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-P11S09%3A20161205%3A1207%3ASR/results/864859049/resdetectqntlmts,Reporting limit,0.5,mg/L,,2020-11-25T16:24:01,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-203960:20160803:1704:SR,Sample-Routine,Water,Surface Water,2016-08-03,17:04:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-203960,"LONG RUN N OF VALES MILLS, ADJ CO. RD. 11K",191954,,,,39.2056000000,-82.3100000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864827035,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-203960%3A20160803%3A1704%3ASR/results/864827035/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:21,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303647:20161024:1134:SR,Sample-Routine,Water,Surface Water,2016-10-24,11:34:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303647,SLATE RUN @ TWP. RD. 192 N,196852,,,,38.5061060000,-82.4014140000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864844887,,as N,Nitrate + Nitrite,Unfiltered,0.6,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303647%3A20161024%3A1134%3ASR/results/864844887/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:15,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303466:20160609:1401:SR,Sample-Routine,Water,Surface Water,2016-06-09,14:01:00,EDT,,,,,,,,,,,,1663,Lake Erie Nearshore Water Quality Monitoring,,21OHIO_WQX-303466,Lake Erie @ City of Huron WTP Intake,188107,,,,41.4055670000,-82.5570330000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864781763,,as N,Nitrate + Nitrite,Unfiltered,0.91,mg/L,,Final,,Actual,,,,,,,,,,Depth Composite,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303466%3A20160609%3A1401%3ASR/results/864781763/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:34,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303721:20160825:1334:SR,Sample-Routine,Water,Surface Water,2016-08-25,13:34:00,EDT,,,,,,,,,,,,1788,Conotton Creek Basin 2016 TMDL,,21OHIO_WQX-303721,Conotton Cr adj W Main St,193601,,,,40.3671670000,-81.0108330000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864846788,,as N,Nitrate + Nitrite,Unfiltered,0.3,mg/L,,Final,,Actual,,,,,,,,,,CBOD20 cBOD20 result rejected due to uncertainty in BOD analysis.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303721%3A20160825%3A1334%3ASR/results/864846788/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:21,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-500330:20161012:0903:SR,Sample-Routine,Water,Surface Water,2016-10-12,09:03:00,EDT,,,,,,,,,,,,1385,Monthly Ambient Stations,,21OHIO_WQX-500330,BEAN CREEK E OF POWERS @ U.S. RT. 20,196383,,,,41.6778670000,-84.2318750000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864848522,,as N,Nitrate + Nitrite,Unfiltered,1.2,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-500330%3A20161012%3A0903%3ASR/results/864848522/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:26,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01W31:20160906:1231:SR,Sample-Routine,Water,Surface Water,2016-09-06,12:31:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01W31,"HURON R. AT HURON, ON DST SIDE OF U.S. RT. 6",194054,,,,41.3900000000,-82.5533000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864857438,,as N,Nitrate + Nitrite,Unfiltered,0.78,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01W31%3A20160906%3A1231%3ASR/results/864857438/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:55,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303547:20160908:1412:SR,Sample-Routine,Water,Surface Water,2016-09-08,14:12:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303547,SHARPS CREEK NEAR MOUTH,194316,,,,38.6145490000,-82.4954530000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864838297,,as N,Nitrate + Nitrite,Unfiltered,0.1,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303547%3A20160908%3A1412%3ASR/results/864838297/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:56,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-W03P14:20160802:1044:SR,Sample-Routine,Water,Surface Water,2016-08-02,10:44:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-W03P14,L. INDIAN CREEK N OF RIO GRANDE @ ST. RT. 325,191747,,,,38.8928000000,-82.3825000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864864961,,as N,Nitrate + Nitrite,Unfiltered,0.17,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-W03P14%3A20160802%3A1044%3ASR/results/864864961/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:23,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-R08K03:20160825:1115:SR,Sample-Routine,Water,Surface Water,2016-08-25,11:15:00,EDT,,,,,,,,,,,,1788,Conotton Creek Basin 2016 TMDL,,21OHIO_WQX-R08K03,CONOTTON CREEK AT LEESVILLE @ AZALEA RD.,193586,,,,40.4597000000,-81.2108000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864859979,,as N,Nitrate + Nitrite,Unfiltered,0.52,mg/L,,Final,,Actual,,,,,,,,,,CBOD20 cBOD20 result rejected due to uncertainty in BOD analysis and blank contamination.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-R08K03%3A20160825%3A1115%3ASR/results/864859979/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:04,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303559:20160614:1535:SR,Sample-Routine,Water,Surface Water,2016-06-14,15:35:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303559,MILLER CREEK @ CAULLEY CREEK RD.,188402,,,,38.7547650000,-82.5246360000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864786083,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303559%3A20160614%3A1535%3ASR/results/864786083/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:48,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303474:20160427:1044:SR,Sample-Routine,Water,Surface Water,2016-04-27,10:44:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-303474,WELLSTON PWS NORTH PLANT INTAKE FROM L RACCOON CREEK,186813,,,,39.1386110000,-82.5168700000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864782176,,as N,Nitrate + Nitrite,Unfiltered,0.1,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303474%3A20160427%3A1044%3ASR/results/864782176/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:36,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-502400:20161228:1158:SR,Sample-Routine,Water,Surface Water,2016-12-28,11:58:00,EST,,,,,,,,,,,,1385,Monthly Ambient Stations,,21OHIO_WQX-502400,CHAGRIN R. AT WILLOUGHBY @ RIDGE RD. (ST. RT. 84),199097,,,,41.6300000000,-81.4003000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864849933,,as N,Nitrate + Nitrite,Unfiltered,0.51,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-502400%3A20161228%3A1158%3ASR/results/864849933/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:31,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303503:20160914:1300:SR,Sample-Routine,Water,Surface Water,2016-09-14,13:00:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-303503,RACCOON CREEK ADJ. DAN JONES RD,194779,,,,38.8038020000,-82.3708000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864835544,,as N,Nitrate + Nitrite,Unfiltered,0.29,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303503%3A20160914%3A1300%3ASR/results/864835544/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:48,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200693:20160810:1210:SR,Sample-Routine,Water,Surface Water,2016-08-10,12:10:00,EDT,,,,,,,,,,,,1787,Southwest Ohio River Tributaries 2016 TMDL,,21OHIO_WQX-200693,"W. FK. EAGLE CREEK W OF DECATUR, UPST. ST. RT. 353",192479,,,,38.8133000000,-83.7406000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864823474,,as N,Nitrate + Nitrite,Unfiltered,0.58,mg/L,,Final,,Actual,,,,,,,,,,#33 Associated field blank  DES lab # 192485,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-200693%3A20160810%3A1210%3ASR/results/864823474/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:09,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300412:20160629:1020:SR,Sample-Routine,Water,Surface Water,2016-06-29,10:20:00,EDT,,,,,,,,,,,,1706,Buckeye Lake Special Study,,21OHIO_WQX-300412,"BUCKEYE LAKE, L-1",189499,,,,39.9305500000,-82.4644900000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864773826,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,composite,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-300412%3A20160629%3A1020%3ASR/results/864773826/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:07,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-W03S19:20160802:1320:SR,Sample-Routine,Water,Surface Water,2016-08-02,13:20:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-W03S19,L. CHICKAMAUGA CREEK N OF GALLIPOLIS @ ST. RT. 160,191750,,,,38.8351650000,-82.2146130000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864866377,,as N,Nitrate + Nitrite,Unfiltered,0.37,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-W03S19%3A20160802%3A1320%3ASR/results/864866377/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:28,STORET
